w_geocode,Base,Zone,ParcelID,year,military_jobs
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Sand Point,1688,15959,2000,10
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Fort Lawton,1913,117265,2000,0
5.3e+14,Pier 91,1972,498061,2000,60
5.3e+14,Pier 91,1972,498061,2000,60
5.3e+14,Pier 91,1972,498061,2000,60
5.3e+14,Pier 91,1972,498061,2000,60
5.3e+14,Pier 91,1972,498061,2000,60
5.3e+14,Pier 91,1972,498061,2000,60
5.3e+14,Pier 91,1972,498061,2000,60
5.3e+14,Pier 91,1972,498061,2000,60
5.3e+14,Pier 91,1972,498061,2000,60
5.3e+14,Pier 91,1972,498061,2000,60
5.31e+14,Everett,3507,1269647,2000,268
5.31e+14,Everett,3507,1269647,2000,268
5.31e+14,Everett,3507,1269647,2000,268
5.31e+14,Everett,3507,1269647,2000,268
